10/01/2019,50327,8827,47781,4396
11/01/2019,50019,7667,47727,4613
12/01/2019,56440,7201,52587,6289
13/01/2019,55309,7321,51352,5732
14/01/2019,42202,7172,40244,3909
15/01/2019,47876,8172,46461,3534
16/01/2019,660152,83191,639562,58278
17/01/2019,52104,8988,49819,4389
18/01/2019,49254,7174,46653,4625
19/01/2019,62249,8215,58745,6351
20/01/2019,63571,7237,58771,6864
21/01/2019,42123,8050,40793,2618
22/01/2019,47062,8862,45291,3485
23/01/2019,53998,8659,52920,3727
24/01/2019,57316,11831,55757,4826
25/01/2019,54324,10918,52560,4436
26/01/2019,66318,11184,60504,8292
27/01/2019,64380,10363,59747,6858
28/01/2019,45247,10394,43544,3143
29/01/2019,51762,10864,50114,3672
30/01/2019,49956,10450,48337,3982
31/01/2019,48533,8750,46523,3688
01/02/2019,53344,11815,51486,4013
02/02/2019,56589,9206,52333,6651
03/02/2019,56080,10950,51438,6588
04/02/2019,44797,8623,42454,3994
05/02/2019,48480,8226,46726,3400
06/02/2019,50228,8465,48278,3812
07/02/2019,50159,9065,48719,3461
08/02/2019,55017,11448,53137,4254
09/02/2019,52236,8145,48703,5766
10/02/2019,42565,7807,39056,5022
11/02/2019,38332,9132,36586,2964
12/02/2019,39762,8283,38147,3503
13/02/2019,43562,9958,41938,4339
14/02/2019,41558,8224,39833,3357
15/02/2019,43967,9429,42726,3649
16/02/2019,44497,8035,42049,5209
17/02/2019,48293,8749,44830,5492
18/02/2019,42797,10289,41435,2950
19/02/2019,50315,10074,48836,3503
20/02/2019,50535,9705,50056,4054
21/02/2019,53911,11114,52901,4202
22/02/2019,53650,10963,51884,4381
23/02/2019,61191,11034,56464,7153
24/02/2019,57819,8491,54361,5824
25/02/2019,43970,9554,42902,2622
26/02/2019,50764,10812,49882,3012
27/02/2019,50687,9887,49714,3216
28/02/2019,54154,10876,53176,3825
01/03/2019,53443,12015,52332,3959
02/03/2019,60652,9755,56416,6720
03/03/2019,57832,10215,54878,5387
04/03/2019,45748,10898,44376,2904
05/03/2019,49114,10539,48065,2890
06/03/2019,52131,10071,51319,3029
07/03/2019,54439,10396,52786,3669
08/03/2019,52050,9391,51044,3483
09/03/2019,60527,9854,57132,5671
10/03/2019,59021,9650,56489,4922
11/03/2019,44453,8060,43847,2476
12/03/2019,49686,11467,48124,3606
13/03/2019,52430,10409,51063,3349
14/03/2019,55193,11453,52459,4888
15/03/2019,56012,11884,54202,4472
16/03/2019,63465,11679,60850,5803
17/03/2019,62211,11032,61033,5229
18/03/2019,52732,12139,51721,3063
19/03/2019,57864,13020,56170,4095
20/03/2019,57497,11675,56508,3435
21/03/2019,57497,11675,56508,3435
22/03/2019,59340,11537,57936,4045
23/03/2019,64346,10807,60181,6505
24/03/2019,49356,11023,47236,5754
25/03/2019,41321,11835,40714,2258
26/03/2019,39424,10712,38846,2611
27/03/2019,38617,10247,37448,2985
28/03/2019,45048,12475,43769,3734
29/03/2019,38876,10314,36536,4392
30/03/2019,39597,9931,36594,4663
31/03/2019,28562,8552,27822,3347
01/04/2019,33540,8876,32575,2626
02/04/2019,38960,10435,38234,2613
03/04/2019,36492,9129,35788,2574
04/04/2019,37679,9679,36209,3161
05/04/2019,38542,9844,36313,3700
06/04/2019,36546,9146,33568,4675
07/04/2019,34737,8029,32217,4315
08/04/2019,32695,8664,31742,2329
09/04/2019,38095,9933,37214,2600
10/04/2019,36024,8340,35424,2259
11/04/2019,35971,8842,34898,3049
12/04/2019,42707,9843,40800,4358
13/04/2019,38583,8553,36122,4322
14/04/2019,36128,8211,34802,3550
15/04/2019,36772,8202,36276,2441
16/04/2019,36913,8708,36878,2682
17/04/2019,39669,9836,39422,2657
18/04/2019,43302,10459,42282,3095
19/04/2019,42417,10132,40447,3901
20/04/2019,41404,10588,39702,3509
21/04/2019,39835,8450,38241,3545
22/04/2019,41572,8506,40335,2842
23/04/2019,41817,9393,40744,2776
24/04/2019,41823,9688,40785,3279
25/04/2019,40978,8807,39559,3266
26/04/2019,45110,9432,43367,3896
27/04/2019,46240,8788,43406,4352
28/04/2019,45637,8320,46147,3966
29/04/2019,42230,8330,40946,2923
30/04/2019,50260,12918,46573,5601
01/05/2019,46484,10265,44950,3602
02/05/2019,48005,11027,45813,4174
03/05/2019,49311,8965,47812,3467
04/05/2019,50031,11733,48266,4847
05/05/2019,49088,11284,49384,3975
06/05/2019,45471,8172,44842,2434
07/05/2019,42902,8229,42469,2276
08/05/2019,45802,9230,45421,2706
09/05/2019,43115,8427,42334,2499
10/05/2019,45519,10556,44586,3061
11/05/2019,52708,10149,51601,4388
12/05/2019,45413,7217,44727,3394
13/05/2019,42952,9085,42844,2469
14/05/2019,44883,8772,45012,2546
15/05/2019,44522,9833,44169,2507
16/05/2019,69808,9052,48527,26577
17/05/2019,65087,11359,45246,22506
18/05/2019,30345,6782,27211,3134
19/05/2019,48279,13971,45339,5217
20/05/2019,39761,9568,38011,3630
21/05/2019,43605,8959,42956,3640
22/05/2019,41987,8081,40881,3310
23/05/2019,45417,9411,44488,3171
24/05/2019,45320,9816,43314,3536
25/05/2019,48747,10824,45836,4694
26/05/2019,42641,8072,40594,4228
27/05/2019,39436,8275,37698,3162
28/05/2019,37176,7822,35957,2616
29/05/2019,40927,9136,38637,3943
30/05/2019,44787,9516,43163,3643
31/05/2019,44889,9865,42289,4335
01/06/2019,43473,9080,40584,4515
02/06/2019,43938,9008,40900,4869
03/06/2019,35511,7704,33803,2890
04/06/2019,38157,8225,36716,2884
05/06/2019,57392,8908,35643,24865
06/06/2019,38598,8700,37319,2963
07/06/2019,41609,11211,39596,3792
08/06/2019,40203,9594,38407,3669
09/06/2019,34835,8240,33072,3646
10/06/2019,29932,8074,28453,2590
11/06/2019,32410,9051,30378,3431
12/06/2019,33295,8970,31497,3364
13/06/2019,55994,10942,33425,25644
14/06/2019,33377,8007,31904,3181
15/06/2019,57551,9634,34388,26449
16/06/2019,51611,7851,30020,25366
17/06/2019,53914,10315,32164,25007
18/06/2019,36876,8948,30752,7554
19/06/2019,35238,10035,34234,2672
20/06/2019,34897,11594,31869,4448
21/06/2019,41177,9670,39375,3317
22/06/2019,38865,8983,35819,4421
23/06/2019,24754,8239,22724,3545
24/06/2019,23043,9452,20740,3322
25/06/2019,28290,10931,25570,4110
26/06/2019,29328,9909,26802,4362
27/06/2019,26210,7873,23340,4377
28/06/2019,28039,11132,24868,4648
29/06/2019,30092,10397,25352,6272
30/06/2019,26209,8701,21501,6049
01/07/2019,26116,9977,23351,3875
02/07/2019,29150,10894,26153,4620
03/07/2019,32020,12484,28843,4449
04/07/2019,27785,9884,24226,4727
05/07/2019,28049,10017,24594,4619
06/07/2019,28677,9210,24229,5964
07/07/2019,26683,9861,22140,6080
08/07/2019,25419,9045,22323,4307
09/07/2019,29803,11613,26327,4768
10/07/2019,29291,9478,25215,5346
11/07/2019,29599,9684,25073,6354
12/07/2019,29466,9747,24627,6251
13/07/2019,29347,9204,23784,6655
14/07/2019,25674,8741,21726,5243
15/07/2019,25087,9107,22164,4154
16/07/2019,28939,9722,25032,5265
